Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Lawn,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Other,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Path,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Playground Equipment,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Pool,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Restroom/Comfort Station,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Sprinkler/Spray shower,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Flower Bed/Garden,Yes,Park,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Other,Yes,Park,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Shrubbery/Bush/Plant,Yes,Park,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Wild Flowers,Yes,Park,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Flower Bed/Garden,Yes,Street/Curbside,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Other,Yes,Street/Curbside,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Shrubbery/Bush/Plant,Yes,Street/Curbside,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Removing Flowers/Plants,Wild Flowers,Yes,Street/Curbside,8,8,violation of park rules removing flowers/plants,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Smoking,Beaches,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Parks,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Pedestrian Plazas,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Pool,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Public Golf Course,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Recreation Center,Yes,Park,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Beaches,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Parks,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Pedestrian Plazas,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Pool,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Public Golf Course,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Smoking,Recreation Center,Yes,Street/Curbside,8,8,violation of park rules smoking,Department of Health and Mental Hygiene
Department of Parks and Recreation,Violation of Park Rules,Social Distancing,,Yes,Park,8,8,violation of park rules social distancing,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Social Distancing,,Yes,Street/Curbside,8,8,violation of park rules social distancing,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Building/Structure,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Fence,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Gate,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Monument/Statue,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Other,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Tree,Yes,Park,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Building/Structure,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Fence,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Gate,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Monument/Statue,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Other,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Climbing,Tree,Yes,Street/Curbside,8,8,violation of park rules unauthorized climbing,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Photo,Yes,Park,8,8,violation of park rules unauthorized film shoot,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Video,Yes,Park,8,8,violation of park rules unauthorized film shoot,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Photo,Yes,Street/Curbside,8,8,violation of park rules unauthorized film shoot,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Video,Yes,Street/Curbside,8,8,violation of park rules unauthorized film shoot,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Building,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Fence,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Gate,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Other,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Playground,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Tree,Yes,Park,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Building,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Fence,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Gate,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Other,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Playground,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Tree,Yes,Street/Curbside,8,8,violation of park rules unauthorized posting of signs,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Accessories/Merchandise,Yes,Park,8,8,violation of park rules unlicensed vendors,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Food,Yes,Park,8,8,violation of park rules unlicensed vendors,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Ice Cream Truck/Cart,Yes,Park,8,8,violation of park rules unlicensed vendors,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Other,Yes,Park,8,8,violation of park rules unlicensed vendors,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Accessories/Merchandise,Yes,Street/Curbside,8,8,violation of park rules unlicensed vendors,Department of Parks and Recreation
